ID,EN,FR,DE
2,breach of trust,abus de confiance,veruntreuung
3,adhesive,adhesif,klebstoff
4,state trading,commerce d'etat,staatshandel
5,retail trade,commerce de detail,einzelhandel
6,wholesale trade,commerce de gros,grosshandel
7,arms trade,commerce des armes,waffenhandel
8,east-west trade,commerce est-ouest,ost-west-handel
9,foreign trade,commerce exterieur,aussenhandel
10,domestic trade,commerce interieur,binnenhandel
11,international trade,commerce international,internationaler handel
12,accession to the european union,adhesion a l'union europeenne,beitritt zur europaischen union
13,marketing,commercialisation,vermarktung
14,ad hoc committee,commission ad hoc,ad-hoc-ausschuss
15,committee of inquiry,commission d'enquete,untersuchungsausschuss
17,un commission,commission onu,kommission uno
18,parliamentary committee,commission parlementaire,parlamentarischer ausschuss
19,ep committee,commission pe,ausschuss ep
20,award of contract,adjudication de marche,offentliche auftragsvergabe
21,standing committee,commission permanente,standiger ausschuss
22,specialised committee,commission specialisee,fachausschuss
23,un technical commission,commission technique onu,technische kommission uno
24,commission agent,commissionnaire,kommissionar
25,commonwealth,commonwealth,commonwealth
26,european communities,communautes europeennes,europaische gemeinschaften
27,municipality,commune,gemeinde
28,adjuvant,adjuvant,behandlungsstoff
29,mass communications,communication de masse,massenkommunikation
30,satellite communications,communication par satellite,kommunikation uber satellit
31,press release,communique de presse,pressekommunique
32,communism,communisme,kommunismus
33,comoros,comores,komoren
34,insurance company,compagnie d'assurances,versicherungsgesellschaft
35,administrative powers,competence administrative,zustandigkeit der verwaltungsgerichte
36,community competence,competence communautaire,zustandigkeit der gemeinschaft
37,jurisdiction ratione materiae,competence d'attribution,sachliche zustandigkeit
38,central government,administration centrale,zentralverwaltung
39,executive competence,competence de l'executif,zustandigkeit der exekutive
40,competence of the member states,competence des etats membres,zustandigkeit der mitgliedstaaten
41,powers of parliament,competence du parlement,zustandigkeit des parlaments
42,jurisdiction,competence juridictionnelle,gerichtliche zustandigkeit
43,joint competence,competence mixte,gemeinsame zustandigkeit
44,territorial jurisdiction,competence territoriale,ortliche zustandigkeit
45,competitiveness,competitivite,wettbewerbsfahigkeit
46,complementarity of trade,complementarite des echanges,komplementaritat des handels
47,consumer behaviour,comportement du consommateur,verbraucherverhalten
48,educational administration,administration de l'enseignement,verwaltung der lehranstalt
49,political behaviour,comportement politique,politisches verhalten
50,electronic component,composant electronique,elektronisches bauteil
51,mineral compound,compose mineral,anorganische verbindung
52,composition of the population,composition de la population,bevolkerungsaufbau
53,composition of parliament,composition du parlement,zusammensetzung des parlaments
54,accounting,comptabilite,buchfuhrung
55,financial accounting,comptabilite generale,allgemeine buchhaltung
56,national accounts,comptabilite nationale,volkswirtschaftliche gesamtrechnungen
57,tax authorities,administration fiscale,steuerverwaltung
58,public accounting,comptabilite publique,offentliches rechnungswesen
59,regional accounting,comptabilite regionale,regionale gesamtrechnung
60,accountant,comptable,buchhalter
61,account,compte,konto
62,consolidated account,compte consolide,konsolidiertes konto
63,trading account,compte d'exploitation,betriebskonto
64,tied sales outlet,comptoir de vente,verkaufskontor
65,county,comte,grafschaft
66,concentration of the population,concentration de la population,bevolkerungskonzentration
67,concentration of powers,concentration des pouvoirs,machtkonzentration
68,local government,administration locale,gemeindeverwaltung
69,economic concentration,concentration economique,konzentration wirtschaftlicher macht
70,industrial concentration,concentration industrielle,industriekonzentration
71,product design,conception de produit,produktgestaltung
72,concessionaire,concessionnaire,vertragshandler
73,medium-term financial assistance,concours financier,finanzieller beistand
74,cohabitation,union libre,freie partnerschaft
75,competition,concurrence,wettbewerb
76,international competition,concurrence internationale,internationaler wettbewerb
77,public administration,administration publique,offentliche verwaltung
78,summarising,condensation,zusammenfassung
79,condiment,condiment,wurze
80,terms for aid,condition de l'aide,voraussetzung fur die beihilfegewahrung
81,position of women,condition feminine,lage der frauen
82,working conditions,condition de travail,arbeitsbedingungen
83,living conditions,condition de vie,lebensbedingungen
84,economic conditions,condition economique,wirtschaftsverhaltnisse
85,social situation,situation sociale,soziale lage
86,socioeconomic conditions,condition socio-economique,soziookonomische verhaltnisse
87,preparation for market,conditionnement,produktverpackung und -aufmachung
88,admission to examinations,admission a l'examen,zulassung zur prufung
89,atmospheric conditions,conditions atmospheriques,atmospharische verhaltnisse
91,un conference,conference onu,konferenz uno
92,confidentiality,confidentialite,vertraulichkeit
93,confectionery,confiserie,susswarenindustrie
94,conflict of jurisdiction,conflit de juridictions,kompetenzkonflikt
95,conflict of powers,conflit de competences,politischer kompetenzstreit
96,misuse of a right,abus de droit,rechtsmissbrauch
97,temporary admission,admission temporaire,vorubergehende einfuhr
98,labour dispute,conflit du travail,arbeitskampf
99,international conflict,conflit international,internationaler konflikt
100,racial conflict,conflit racial,rassenkonflikt
101,social conflict,conflit social,sozialer konflikt
102,sick leave,conge de maladie,krankheitsurlaub
103,maternity leave,conge de maternite,mutterschaftsurlaub
104,training leave,conge formation,bildungsurlaub
105,parental leave,conge parental,erziehungsurlaub
106,paid leave,conge paye,bezahlter urlaub
107,unpaid leave,conge sans solde,unbezahlter urlaub
108,leave on social grounds,conge social,urlaub aus sozialen grunden
109,freezing,congelation,gefrieren
110,conglomerate,conglomerat,mischkonzern
111,congo,congo,kongo
112,short-term economic prospects,conjoncture economique,konjunktur
113,connacht,connacht,connacht
114,council of the european union,conseil de l'union europeenne,rat der europaischen union
115,board of directors,conseil d'administration,verwaltungsrat
116,ec association council,conseil d'association ce,assoziationsrat eg
117,adoption of a child,adoption d'enfant,adoption
118,council for cultural cooperation,conseil de cooperation culturelle,rat fur kulturelle zusammenarbeit
120,asian and pacific council,conseil de l'asie et du pacifique,asiatisch-pazifischer rat
121,council of europe,conseil de l'europe,europarat
122,council of europe countries,pays du conseil de l'europe,staaten des europarates
123,un security council,conseil de securite onu,sicherheitsrat uno
124,un trusteeship council,conseil de tutelle onu,treuhandrat uno
125,council of european municipalities and regions,conseil des communes et regions d'europe,rat der gemeinden und regionen europas
126,council of ministers,conseil des ministres,ministerrat
127,adoption of a law by vote,adoption de la loi,annahme des gesetzes
128,european council,conseil europeen,europaischer rat
129,nordic council,conseil nordique,nordischer rat
130,nordic council countries,pays du conseil nordique,staaten des nordischen rates
131,agricultural adviser,conseiller agricole,landwirtschaftlicher berater
132,food preserving,conservation des aliments,lebensmittelkonservierung
133,conservation of fish stocks,conservation des peches,erhaltung der fischbestande
134,conservation of resources,conservation des ressources,erhaltung der ressourcen
135,conservatism,conservatisme,konservatismus
136,cannery,conserverie,konservenfabrik
137,rescheduling of public debt,consolidation de la dette,konsolidierung der schuld
138,consumer,consommateur,verbraucher
139,consumption,consommation,verbrauch
140,food consumption,consommation alimentaire,nahrungsmittelverbrauch
141,water consumption,consommation d'eau,wasserverbrauch
142,energy consumption,consommation d'energie,energieverbrauch
143,household consumption,consommation des menages,verbrauch der privaten haushalte
144,adoption of the budget,adoption du budget,annahme des haushaltsplans
145,final consumption,consommation finale,endverbrauch
146,domestic consumption,consommation interieure,inlandsverbrauch
147,per capita consumption,consommation par tete,pro-kopf-verbrauch
148,constitution,constitution,verfassung
149,formation of a party,constitution d'un parti,parteigrundung
150,incorporation,constitution de societe,gesellschaftsgrundung
151,control of constitutionality,controle de constitutionnalite,kontrolle der verfassungsmassigkeit
152,agricultural building,batiment agricole,wirtschaftsgebaude
153,road building,construction de route,strassenbau
154,metal structure,construction metallique,stahlbau
155,shipbuilding,construction navale,schiffbau
156,consultation of information,consultation d'information,abruf von information
157,worker consultation,consultation des travailleurs,anhorung der arbeitnehmer
158,container,conteneur,container
159,objections to an election result,contentieux electoral,wahlanfechtungen
160,adult,adulte,erwachsener
161,tariff quota,contingent tarifaire,zollkontingent
162,contraception,contraception,empfangnisverhutung
163,shorter working week,contraction de la semaine,reduzierung der wochenarbeitstage
164,contract,contrat,vertrag des burgerlichen rechts
165,insurance contract,contrat d'assurance,versicherungsvertrag
166,work contract,contrat de travail,arbeitsvertrag
167,industrial counterfeiting,contrefacon,nachahmung
168,eadi,eadi,eadi
169,plywood,contreplaque,sperrholz
170,taxpayer,contribuable,steuerpflichtiger
171,administrative control,controle administratif,verwaltungskontrolle
172,air traffic control,controle aerien,luftverkehrskontrolle
173,budgetary control,controle budgetaire,haushaltskontrolle
174,management audit,controle de gestion,wirtschaftlichkeitskontrolle
175,control of communications,controle de la communication,kommunikationskontrolle
176,efta,aele,efta
177,pollution control,controle de la pollution,kontrolle der umweltbelastungen
178,liquidity control,controle de liquidite,liquiditatskontrolle
179,production control,controle de production,produktionskontrolle
180,quality control of industrial products,controle de qualite des produits industriels,qualitatsprufung von industrieerzeugnissen
182,exchange control,controle des changes,devisenkontrolle
183,merger control,controle des concentrations,fusionskontrolle
184,assessment,controle des connaissances,leistungskontrolle
185,migration control,controle des migrations,migrationskontrolle
186,abuse of power,abus de pouvoir,amtsmissbrauch
187,efta countries,pays de l'aele,efta-staaten
188,price control,controle des prix,preisuberwachung
189,financial control,controle financier,finanzkontrolle
190,parliamentary scrutiny,controle parlementaire,parlamentarische kontrolle
191,plant health control,controle phytosanitaire,pflanzenschutzkontrolle
192,health control,controle sanitaire,gesundheitsuberwachung
193,civ convention,convention civ,civ-ubereinkommen
194,collective agreement,convention collective,tarifvertrag
195,airport,aeroport,flughafen
196,arusha convention,convention d'arusha,abkommen von arusha
197,lome convention,convention de lome,abkommen von lome
198,first lome convention,convention de lome i,abkommen von lome i
199,second lome convention,convention de lome ii,abkommen von lome ii
200,yaounde convention,convention de yaounde,abkommen von jaunde
201,un convention,convention onu,konvention uno
202,economic convergence,convergence economique,wirtschaftliche konvergenz
203,energy conversion,conversion de l'energie,energieumwandlung
204,currency convertibility,convertibilite monetaire,wahrungskonvertibilitat
205,cook islands,iles cook,cookinseln
206,administrative cooperation,cooperation administrative,zusammenarbeit der verwaltungen
207,trade cooperation,cooperation commerciale,handelspolitische zusammenarbeit
208,cultural cooperation,cooperation culturelle,kulturelle zusammenarbeit
209,economic cooperation,cooperation economique,wirtschaftliche zusammenarbeit
210,european cooperation,cooperation europeenne,europaische zusammenarbeit
211,financial cooperation,cooperation financiere,finanzielle zusammenarbeit
212,aerosol,aerosol,aerosol
213,industrial cooperation,cooperation industrielle,industrielle zusammenarbeit
214,institutional cooperation,cooperation institutionnelle,institutionelle zusammenarbeit
215,inter-company cooperation,cooperation interentreprises,zwischenbetriebliche zusammenarbeit
216,international cooperation,cooperation internationale,internationale zusammenarbeit
217,judicial cooperation,cooperation judiciaire,zusammenarbeit der justizbehorden
218,military cooperation,cooperation militaire,militarische zusammenarbeit
219,monetary cooperation,cooperation monetaire,wahrungspolitische zusammenarbeit
220,political cooperation,cooperation politique,politische zusammenarbeit
221,regional cooperation,cooperation regionale,regionale zusammenarbeit
222,allocation of land,affectation des terres,verwendung des bodens
223,scientific cooperation,cooperation scientifique,wissenschaftliche zusammenarbeit
224,south-south cooperation,cooperation sud-sud,sud-sud-zusammenarbeit
