ID	DE
594	AASM-Staaten
2949	Abbau der Streitkräfte
7363	Abbildung
2631	Aberkennung von Rechten
343	Abfall
6410	Abfall aus der Erzeugung oder Verwendung von Chemikalien
2947	Abfallaufbereitung
718	Abfallbeseitigung
3133	Abfalllagerung
1158	Abfallwirtschaft
722	Abfüllung
4403	Abgabe gleicher Wirkung
3267	Abgabenerlass bei der Ausfuhr
4672	abgabenfreier Verkauf
1140	Abgas
4321	abgegebene gültige Stimme
4018	abgeleitetes Recht
6893	Abgeordnetenrechte
7217	Abgeordnetenstatut
3677	abhängiges Gebiet
6542	Abhängigkeit der älteren Menschen
339	Abholzung
4049	Abkommen AKP-EG
1474	Abkommen mit der EG
6253	Abkommen über die Sozialpolitik
196	Abkommen von Arusha
1858	Abkommen von Bretton Woods
200	Abkommen von Jaunde
197	Abkommen von Lomé
198	Abkommen von Lomé I
199	Abkommen von Lomé II
4053	Abkommen von Lomé III
5318	Abkommen von Lomé IV
5420	Abkommensbeitritt
5870	Abkommensrevision
4135	Abkürzungswörterbuch
8458	Ablehnung  [V4.3]
3182	Ablehnung des Haushaltsplans
2993	Ablehnung eines Angebots
3509	ABM-Vertrag
4124	Abordnung der Kommission
156	Abruf von Information
411	Abrüstung
5075	Abruzzen
3070	Absatzbeihilfe
2803	Absatzförderung
4333	Abschaffung der Zölle
3166	Abschöpfung bei der Ausfuhr
3167	Abschöpfung bei der Einfuhr
472	Abschreckung
1673	Abschreibung
1746	absolute Mehrheit
470	Abspaltung
7215	Abstimmungsergebnis
4504	Abtreibung
3188	Abwärme
612	Abwasser
5581	Abweichung vom Gemeinschaftsrecht
1351	Abweichungsindikator
6355	Abwerben von Arbeitskräften
426	Abwertung
5388	Achslast
4448	Ackerland
8542	AD-Beamter  [V4.3]
14	Ad-hoc-Ausschuss
3700	ADN-Übereinkommen
3302	adoptiertes Kind
117	Adoption
6536	Adoptionsrecht
5221	Adriatisches Meer
1195	ADR-Übereinkommen
4107	Aerodynamik
212	Aerosol
1283	AETR-Abkommen
5895	Affe
261	Afghanistan
281	Afrika
6077	Afrikanische Charta der Menschenrechte und Rechte der Völker
4744	Afrikanische Entwicklungsbank
2167	afrikanische Organisation
2202	Afrikanische Union
4171	Ägäische Inseln
5223	Ägäisches Meer
6219	Agentur der Europäischen Union für Grundrechte
2591	Agrarabschöpfung
5575	Agrarausgabe
6048	Agrarausschuss EG
2965	Agrarbeihilfe
2971	Agrarentwicklungsplan
2915	Agrarforschung
6339	Agrarkredit
1788	Agrarmarkt
1789	Agrarmarkt der Gemeinschaft
2442	Agrarpolitik
2639	Agrarpreis
4236	Agrarpreisstützung
2477	Agrarproduktionspolitik
579	Agrarrecht
2970	Agrarreform
5886	Agrarsektor
4257	Agrarstatistik
4298	Agrarstruktur
2493	Agrarstrukturpolitik
926	Agrarüberschuss
6310	Agrar-Umweltmaßnahmen
2511	Agrarwährungspolitik
638	Agrarwirtschaft
3736	Agro-Energie
6314	Agro-Forstwirtschaft
666	Agro-Industrie
685	Agronomie
690	Ägypten
5172	AIDS
4873	Akkulturation
1450	AKP-EG-Institution
5083	AKP-Staaten
5362	Aktie
4190	Aktiengesellschaft
5389	Aktionär
2792	Aktionsprogramm
2321	aktive Veredelung
1928	aktives Parteimitglied
548	aktives Wahlrecht
5596	Aktivlegitimation
3291	Akustik
1094	ALADI
1105	ALADI-Staaten
6252	Ålandinseln
8499	Alba  [V4.3]
1125	Albanien
1177	Alentejo
1187	Algarve
1204	Alge
1196	Algerien
1134	Alkohol
5019	alkoholfreies Getränk
5018	alkoholisches Getränk
1162	Alkoholismus
3739	Alkoholkraftstoff
2340	allein stehende Person
407	Alleinvertreter
478	Alleinvertrieb
5431	Allergie
4524	Allfaserabkommen
784	allgemein bildender Unterricht
55	allgemeine Buchhaltung
352	allgemeine Entscheidung EGKS
2590	allgemeine Präferenzen
1846	allgemeiner Maschinenbau
5813	allgemeiner Rechtsgrundsatz
4071	allgemeines Auswahlverfahren EG
4322	allgemeines Wahlrecht
3356	Allgemeinmedizin
5845	Alpenraum
1419	Alphabetisierung
6233	Altenpflege
4555	älterer Arbeitnehmer
2333	älterer Mensch
2976	alternative Agrarproduktion
3289	alternative Medizin
5950	alternative Verwendung von Agrarprodukten
3327	Altersgliederung
3623	Altersrentner
3751	Altersversicherung
1269	Altöl
1446	Aluminium
7869	Alytus
3213	ambulanter Handel
1587	Amerika
7220	Amerikanische Freihandelszone
3406	Amerikanische Jungferninseln
2170	amerikanische Organisation
3411	Amerikanisch-Samoa
1664	Amnesty International
3695	amorpher Werkstoff
2153	Amt für Veröffentlichungen
6104	amtliche Hinterlegung
4267	amtliche Statistik
492	amtliches Dokument
1533	Amtsblatt
3032	Amtsblatt EU
5838	Amtshaftungsklage
186	Amtsmissbrauch
5313	Amtssprache
1691	Analphabetismus
5300	analytische Chemie
1829	Anarchismus
1859	Anatomie
1513	Anbau des Waldes
6320	Anbau von Energiepflanzen
6321	Anbau von Ölpflanzen
4363	Anbausystem
4412	Anbautechnik
1873	Andalusien
1190	Andengemeinschaft
7205	Andenparlament
2154	Andersdenkender
5872	Änderung der Finanziellen Vorausschau
1041	Änderung der Wirtschaftsstruktur
1959	Änderung des Haushaltsplans
5483	Änderung des politischen Systems
