ID	FR
6905	abandon scolaire
920	abats
1857	abattage d'animaux
6621	abrogation
5075	Abruzzes
5339	absentéisme
5984	abstentionnisme
2	abus de confiance
96	abus de droit
186	abus de pouvoir
5400	accès à la justice
545	accès à la profession
280	accès à l'éducation
372	accès à l'emploi
453	accès à l'information
5399	accès à l'information communautaire
635	accès au marché
6914	accident chimique
730	accident de transport
5314	accident domestique
825	accident du travail
921	accident nucléaire
1015	accise
3509	accord ABM
3700	accord ADN
1195	accord ADR
1283	accord AETR
5401	accord ATP
3462	accord bilatéral
1474	accord CE
1567	accord commercial
5403	accord commercial CE
1663	accord d'association
4048	accord d'association CE
1858	accord de Bretton Woods
1918	accord de compensation
2006	accord de complémentarité
2095	accord de coopération
5404	accord de coopération CE
7813	accord de Cotonou
2275	accord de libre-échange
2452	accord de limitation
2556	accord de pêche
2646	accord de prix
5405	accord de Schengen
2837	accord de spécialisation
8285	accord de stabilisation et d'association  [V4.3]
2928	accord économique
5406	accord européen d'association
3186	accord financier
7184	accord institutionnel
3821	accord interentreprises
5407	accord intérimaire CE
5408	accord interinstitutionnel
3461	accord international
4252	accord interprofessionnel
5409	accord mixte
4344	accord monétaire
4437	accord monétaire européen
4524	accord multifibres
3463	accord multilatéral
4605	accord préférentiel
4794	accord SALT
4817	accord sectoriel
6253	accord social CE
3508	accord START
4828	accord sur les produits de base
4836	accord tarifaire
1379	accord-cadre
4852	accroissement de population
4863	accroissement de production
4873	acculturation
5410	accumulateur électrique
4882	accusation
4983	achat
5015	achat à crédit
5025	achat d'intervention
3006	achat exclusif
5035	acide
5045	acide inorganique
5055	acide organique
6407	acidification
5065	acier
3832	aciers spéciaux
5076	Açores
3291	acoustique
5411	acquis communautaire
5093	acquisition de la propriété
5102	acquisition des connaissances
5109	acquisition documentaire
5217	acte administratif
5258	acte communautaire
5268	acte de commerce
5277	acte de congrès
5340	acte pontifical
4034	Acte unique européen
5412	action civile
5413	action communautaire
4066	action commune
5371	action en justice
5414	action en matière civile
5415	action en matière pénale
5416	action en responsabilité
5362	action financière
5417	action publique
5389	actionnaire
5604	actionnariat ouvrier
2149	activité bancaire
5418	activité communautaire
5985	activité de l'entreprise
5992	activité économique
6008	activité non salariée
6348	adaptabilité du travailleur
5419	adaptation des perspectives financières
6037	adaptation scolaire
6046	adaptation sociale
6052	additif alimentaire
3	adhésif
12	adhésion à l'Union européenne
5420	adhésion à un accord
20	adjudication de marché
28	adjuvant
8542	administrateur  [V4.3]
38	administration centrale
48	administration de l'enseignement
5421	administration de l'institution
1163	administration du personnel
6894	administration électronique
57	administration fiscale
68	administration locale
3963	administration pénitentiaire
6911	administration portuaire
77	administration publique
5120	administration régionale
88	admission à l'examen
4005	admission des étrangers
97	admission temporaire
6260	ADN
127	adoption de la loi
117	adoption d'enfant
144	adoption du budget
6534	adoption internationale
7950	adresse internet
160	adulte
176	AELE
4107	aérodynamique
195	aéroport
212	aérosol
