Thema,Prädikat,Objekt
-,-,Politisches ziviles ICCPR
-,Garantien,Rechte
-,erleichtern,Individual Rechte
-,Sei,Urteile
-,-,Mitglied Sonstiges
Ausmaß,-,Anwendung
-,-,Mitgliedsstaaten
-,Satz,Zielsetzung
-,Entwicklung,gegenseitige Anerkennung
-,Position,Rat
auch dass,arbeiten,Regeln
-,erfordert,ICCPR
Es,-,aus Charta EMRK
-,-,-
zu Urteilen,bietet,Grenzdimension
welche,-,Mindestregeln
-,führen,Union
-,-,Mitgliedsstaaten
bei Entzug,gegründet,Freiheit entzogen
Entschließung von 2009,angenommen,Strafverfahren
WHO,beschuldigt,Personen
also das,geändert,Prioritäten
wenn alles,entworfen,Vorteile
Europäisch es,begrüßt,Programm geöffnet
erschöpfender Charakter,beschuldigt,bessere Zusammenarbeit
-,angenommen,ings
-,-,Freiheit
welche,fördert,Zugang
Rechtsprechung,-,bietet
Das,erfordert,Verteidigung
-,-,-
welche,-,Richtlinie
WHO,umgesetzt,Zugang
-,beschuldigt,verdächtige Personen
-,-,Kompetenz-Freiheits-Verhältnis
"Straftaten, die",Sei,Verkehrskontrolle
Das,-,L
-,-,ABl. L
294/3 Behörden,sicherstellen,Richtlinie
Zuständigkeit,bietet,Richtlinie
-,ausgesetzt,-
sie,gemacht,volle Rechte
-,Sei,kommunale Vorschriften
Das,-,Rechte
Zuständigkeit,bietet,Strafsachen
-,-,ihnen
-,machen,Verfahrensschritte
beschuldigte Person,machen,Ort
-,beschuldigt,Rechtsanwalt
-,-,Rechtsanwalt
Mitglied das,sicherstellen,Richtlinie
Gericht sie,gewährt,Rechts
-,-,-
-,-,Rechtsanwalt
-,machen,Ort
praktische Vorkehrungen,Personen,Verdächtige
-,enthalten,beschuldigte Person
Das,haben,Telefon
Allerdings einschränkend,-,Polizei
beschuldigte verdächtige Person,wird,Rechts
-,-,Menschenrechte
-,-,-
-,macht,Strafverfahren
wenn sie,wird,Gerichtsverhandlungen
welche,-,Wesen richtig
-,-,Gesetz
L,fragen,nationales Gesetz
welche,arrangieren,beschuldigte Person
-,enthalten,Rechtshilfe
soweit sie vermuten,-,Personen
welche,-,Person
-,machen,Versammlungshandlungen
-,-,Rechte
-,notiert,Mitgliedstaat
Das,bemühen,Personen
Anwalt sie,brauchen,assistierter Rechtsanwalt
-,beschuldigt,frei kontaktieren
Das,beraubt,wenn sie
welche,-,Menschenrechte
Person,-,Freiheit
-,-,Freiheit
-,-,Beweishandlungen
-,-,Videokonferenz
-,gestattet,Leben
Sie,bleiben,Selbstbeschuldigung
-,getragen,Leben
Missbrauch,-,Verteidigung
Das,-,-
-,gestattet,Zeugen
Anwalt sie,informiert,Selbstbeschuldigung
Befragung,getragen,Strafverfahren
Missbrauch,-,unwiederbringliche Vorurteile
-,-,Rechts
deshalb respekt,Person,Abweichung
Verdacht das,-,beschuldigte Person
Kriminelle Aktivität,berücksichtigt,Rahmen
auch dass,Refrain,Vertraulichkeit
-,-,Vorurteil
Das,gesendet,Verdächtige
Verfahren,abgelehnt,Absender weiterleiten
welche,-,zuständige Überwachungsbehörden
72 welche,getragen,betrachten
"beschuldigte Verdächtige, die",beraubt,Person
-,machen,richtig anwenden
-,-,effektive Übung
-,abweichen,zwingenden Grund
Sie,halten,Freiheit
-,-,am wenigsten
-,-,Betriebsanforderungen
brauchen,enthalten,Verbrechen
dritte Person,halten,ihnen
-,machen,wo Freiheit
-,-,-
wo es,beschuldigt,verliehene Staatsangehörige
WHO,beschuldigt,wünscht sich
-,ausgeübt,konsularische Behörden
Richtlinie sie,Satz,gen
-,Sei,allgemeine Fairness
welche,sicherstellen,Bühne
Sie,-,mögliche Konsequenzen
-,vergriffen,körperlicher Alterszustand
Verdächtige,fragen,Aussagen
Das,Sei,Mitgliedstaat
-,Angefordert,Mitgliedstaat
-,machen,Fall
Sicherheit,machen,besondere
-,angefordert,Rechtsanwalt
-,angefordert,Mitgliedstaat
Es,-,Rechtsanwalt
-,Zustände,-
-,machen,Rechtsanwalt
-,nehmen,Technologie Ort
Verzicht auf welche,notiert,Mitgliedstaat
-,-,Verwaltungsaufwand
Das,getragen,aus Zeitraum
Sie,machen,wenn Personen
-,regiert,nationales Gesetz
Das,implizieren,Personen
ihnen,-,2002/584 JI
Das,bieten,angefragte Person
-,-,Rechtsanwalt
Anwalt wer,enthalten,Beratungsfälle
Mitglied das,Anfrage,solche Liste
-,-,Mitgliedsstaaten
Beachtung,enthalten,Zusammenarbeit
-,Übung,Zeitbegrenzungen
welche,Ist,Menschenrechte
-,schützen,Einzelpersonen
Authentifizierung,setzen,Verteidigungsverfahren
hat das gehasst,gebraucht,anwaltliche Überzeugung
wo zugreifen,Sei,ernstes Verbrechen
-,-,Vorgerichtliche Zulässigkeit
-,verhindern,Gerechtigkeit gefährden
beeinflusst,beschuldigt,Fähigkeit
Übung,-,Rechte
-,prin,Unschuld
Das,umgesetzt,zipeln
wo sie,sicherstellen,Menschenrechte
-,-,Mindestregeln
-,erweitern,Schutz
-,-,erleichtern
-,-,Menschenrechte
Das,-,Kinder
Direktive das,gemacht,solchen Verzicht
Kindesentzug,benachrichtigt,Gründe dafür
Interesse,Ist,Kind
Das,-,Bestimmungen
diese,Sind,Freiheitskind
WHO,Refrain,die meisten Haltungen
-,gehaltenen,Wohlfahrtskinder
Mitgliedsstaaten,-,Transpositionsinstrumente
Richtlinie berücksichtigt,-,solche Dokumente
-,-,aus Artikel
Was,-,Ziele
-,-,Kation
Betreff Dies,beschuldigt,Freiheit
unabhängig von ihnen,gemacht,Freiheit
welche,-,beschuldigte Straftat
Das,-,Personen
-,-,Artikel
wer beschuldigt,werden,Kurs
-,-,-
wo Zuständigkeitsentzug,auferlegt,Sanktion
gerichtliche Zuständigkeit,anwenden,Strafsachen
-,-,-
beschuldigte Person,anwenden,Strafverfahren
-,beschuldigt,Verteidigung
-,-,unangemessene Verzögerung
gerichtliche Zuständigkeit,erscheinen,Gericht
-,-,-
Personen,sicherstellen,Verdächtige
-,-,Rechts
"Fakt, dass",sicherstellen,Gesetz
-,haben,Verbrechen
-,machen,-
-,beschuldigt,verdächtige Personen
Sie,bemühen,Artikel
-,-,-
Es,macht,Freiheit
-,-,-
-,Ist,Verfahren wegen erheblicher Gefährdung
-,enthalten,Richtlinie
-,soll,nationales Gesetz
Artikel,-,Freiheit
Sie,sicherstellen,also wünsche
-,-,-
beschuldigte Person,-,Europäische Union Europäischer Verdächtiger
welche,sicherstellen,bestes Kind
-,berücksichtigt,18 Jahre
-,-,-
Fall,-,physische Person
Rechts,hat besucht,Verdächtige
welche,ermöglichen,Rechte
Was,-,Strafverfahren
2 sie,-,Kind
-,-,Verfahren
