Sujet,Prédicat,Objet
-,-,Politique Civil PIDCP
-,garanties,droits
-,faciliter,droits individuels
-,être,jugements
-,-,Membre autre
étendue,-,application
-,-,États membres
-,ensemble,objectif
-,développement,reconnaissance mutuelle
-,Position,Conseil
aussi que,fonctionner,règles
-,a besoin,PIDCP
Il,-,Charte CEDH
-,-,-
aux jugements,fournit,cote de bordure
qui,-,règles minimales
-,mener,syndicat
-,-,États membres
lors de la privation,établi,liberté privée
Résolution 2009,adopté,procédure pénale
OMS,accusé,personnes
ainsi que,modifié,priorités
quand tout,conçu,avantages
l'européen,accueilli,programme ouvert
caractère exhaustif,accusé,une meilleure coopération
-,adopté,ings
-,-,liberté
qui,favorise,accès
jurisprudence,-,fournit
ce,a besoin,la défense
-,-,-
qui,-,Directif
OMS,mis en œuvre,accès
-,accusé,personnes suspectes
-,-,compétence liberté relation
infractions qui,être,contrôle de la circulation
ce,-,L
-,-,JO L
294/3 autorités,assurer,Directif
juridiction,fournit,Directif
-,suspendu,-
elle,fait,pleins droits
-,être,règlements municipaux
ce,-,droits
juridiction,fournit,affaires criminelles
-,-,eux
-,faire,étapes procédurales
personne accusée,faire,lieu
-,accusé,avocat
-,-,avocat
Membre qui,assurer,Directif
courtiser ils,accordé,droite
-,-,-
-,-,avocat
-,faire,lieu
dispositions pratiques,personnes,suspects
-,inclure,personne accusée
ce,ont,Téléphone
Cependant limitant,-,police
personne suspecte accusée,devient,droite
-,-,Cas humain Droits
-,-,-
-,fait du,procédure pénale
quand ils,devient,audiences du tribunal
qui,-,droit essentiel
-,-,loi
L,demander,loi nationale
qui,organiser,personne accusée
-,inclure,l'aide juridique
dans la mesure où ils les soupçonnent,-,personnes
qui,-,personne
-,faire,actes de rassemblement
-,-,droits
-,indiqué,Etat membre
ce,effort,personnes
avocat ils,besoin,avocat assisté
-,accusé,contacter librement
ce,privé,quand ils
qui,-,Droits humains
personne,-,liberté
-,-,liberté
-,-,actes de preuve
-,-,conférence vidéo
-,permis,vie
ils,rester,auto-incrimination
-,porté,vie
abus,-,la défense
ce,-,-
-,permis,les témoins
avocat ils,informé,auto-incrimination
Interrogatoire,porté,procédure pénale
abus,-,préjudice irrémédiable
-,-,droite
donc respecter,personne,dérogation
soupçon que,-,personne accusée
activité criminelle,considéré,cadre
aussi que,s'abstenir,confidentialité
-,-,préjudice
ce,envoyé,suspects
procédures,rejeté,expéditeur de transfert
qui,-,autorités de surveillance compétentes
72 qui,porté,égard
accusé Les suspects qui,privé,personne
-,faire,droit d'application
-,-,exercice efficace
-,déroger,raison impérieuse
ils,considérer,liberté
-,-,moins
-,-,exigences opérationnelles
besoin,inclure,crime
à la troisième personne,considérer,eux
-,faire,où la liberté
-,-,-
où il,accusé,ressortissants des États conférés
OMS,accusé,vœux
-,exercé,autorités consulaires
Directive ils,ensemble,tions
-,être,équité globale
qui,assurer,organiser
ils,-,conséquences possibles
-,pris,condition d'âge physique
suspects,demander,déclarations
ce,être,Etat membre
-,Demandé,Etat membre
-,faire,cas
sécurité,faire,particulier
-,demandé,avocat
-,demandé,Etat membre
Il,-,avocat
-,États,-
-,faire,avocat
-,prendre,lieu technologique
renonciation qui,indiqué,Etat membre
-,-,fardeau administratif
ce,porté,hors période
ils,faire,lorsque des personnes
-,gouverné,loi nationale
ce,impliquer,personnes
eux,-,2002/584 JAI
ce,fournir,personne demandée
-,-,avocat
avocat qui,inclure,cas de conseils
Membre qui,demande,telle liste
-,-,États membres
Observance,contenu,coopération
-,exercer,délais
qui,est,Cas humain Droits
-,protéger,personnes
authentification,mettre,procédure de défense
j'ai adoré ça,utilisé,avocat condamnation
où l'accès,être,crime grave
-,-,recevabilité judiciaire antérieure
-,prévenir,mettre en péril la justice
affecte,accusé,capacité
exercer,-,droits
-,imprimer,innocence
Ce,mis en œuvre,cipes
où ils,assurer,Droits humains
-,-,règles minimales
-,étendre,protection
-,-,faciliter
-,-,Droits humains
Ce,-,enfants
Directive qui,fait,une telle renonciation
la privation des enfants,notifié,les raisons
meilleurs intérêts,est,enfant
Ce,-,des provisions
ceux,sont,enfant de la liberté
OMS,s'abstenir,la plupart des positions
-,détenu,bien-être des enfants
États membres,-,instruments de transposition
directive considère,-,de tels documents
-,-,sur l'article
quoi,-,objectifs
-,-,cation
Sujet ceci,accusé,liberté
indépendamment qu'ils,fait,liberté
qui,-,infraction accusée
Ce,-,personnes
-,-,Article
accusé qui,devenir,cours
-,-,-
où la privation de compétence,imposé,sanction
compétence des tribunaux,appliquer,affaires criminelles
-,-,-
personne accusée,appliquer,procédure pénale
-,accusé,la défense
-,-,retard injustifié
compétence des tribunaux,apparaître,rechercher
-,-,-
personnes,assurer,suspects
-,-,droite
fait que,assurer,loi
-,ont,crime
-,faire,-
-,accusé,personnes suspectes
ils,effort,Article
-,-,-
il,fait du,liberté
-,-,-
-,est,procédure en péril grave
-,inclure,Directif
-,devoir,loi nationale
Article,-,liberté
ils,assurer,alors je souhaite
-,-,-
personne accusée,-,Suspect européen de l'Union européenne
qui,assurer,meilleur enfant
-,considéré,18 ans
-,-,-
cas,-,personne physique
droite,a visité,suspects
qui,activer,droits
quoi,-,procédure pénale
2 ils,-,enfant
-,-,procédure
-,-,tiers
OMS,assurer,eux
cas compétent qui,soumis,une revue judiciaire
-,enregistré,Etat membre
-,-,-
-,exigences,exigences impératives
-,-,Article temporaire
ce,base,une revue judiciaire
-,-,autorités consulaires
ils,assurer,souhait
plus ils,informé,toute liberté qui
ils,souhait,Article
ce,-,il
-,donné,Renonciation 294/11
qui,indiqué,Etat membre
-,-,-
ils,assurer,possibilité
-,ont,il
Membre qui,a,garantir
-,-,-
-,-,personnes demandées
avocat,exercer,eux
-,-,-
-,-,autorité judiciaire
-,indiqué,loi
-,-,Etat membre
ils,-,Etat membre
rôle,-,-
-,aider,-
-,-,2002/584
-,autorité,Etat membre
-,-,avocat
conditions de temps,-,autorité judiciaire JAI
Ce,-,conformité
-,-,violation des droits
-,-,-
Membre qui,-,procédure
Membre qui,pris,compte accusé
-,assuré,protection
-,-,-
exercer,souhait,compétent
-,apporter,27
Ils,-,-
-,-,-
-,L,-
mesures qu'ils,contenir,publication
méthodes,posé,États membres
-,-,-
ils,communiquer,champ
qui,soumettre,propositions législatives
-,-,Journal officiel
-,-,Traités
-,Fait,Strasbourg
-,-,Parlement européen
