Thema,Prädikat,Objekt
Rechtshilfe,im Rat ist,Handeln im ordentlichen Gesetzgebungsverfahren
gesuchte Personen,ist in,Europäisches Haftbefehlsverfahren
Wirksamkeit gewährleistet,für unter,Richtlinie 2013 48
Wirksamkeit gewährleistet,für unter,Richtlinie 2013 48 EU-Herstellung
Wirksamkeit gewährleistet,für unter,Richtlinie 2013 48 EU Europäisches Parlament
EUROPÄISCHES PARLAMENT,Strafverfahren,RAT
Artikel 82 2,der Punkt ist,B
betrachten,Haben,Nach Rücksprache mit
EUROPÄISCHES PARLAMENT,Personen,RAT
Verdächtige,ist in,Strafverfahren
EUROPÄISCHES PARLAMENT,Personen,RAT
EUROPÄISCHES PARLAMENT,gesuchte Personen,RAT
Zweck,Wirksamkeit von,Rechts
betrachten,Kenntnis,Beratung
betrachten,Haben,1
betrachten,Haben,Rücksicht auf die Meinung
EUROPÄISCHES PARLAMENT,Verfahren,RAT
Zweck,Wirksamkeit von,Zugangsrecht
Zweck,Wirksamkeit von,Recht auf Zugang zu einem Anwalt
betrachten,Haben,betrachten
betrachten,Haben,Beratung
Wirksamkeit gewährleistet,für unter,Richtlinie 2013 48 EU
Wirksamkeit gewährleistet,für unter,Richtlinie 2013 48 EU Europäisches Parlament
RAT,Handeln in,ordentliches Gesetzgebungsverfahren
26. Oktober 2016,des RATES ist,Handeln im ordentlichen Gesetzgebungsverfahren
Rahmenbeschluss des Rates 2002 584,nach Verfahren ist,gesuchte Personen
Meinung,betrachten ist,1
betrachten,Haben,unter Berücksichtigung der Stellungnahme des Europäischen Wirtschafts- und Sozialausschusses
betrachten,Kenntnis,Nach Rücksprache mit
Wirksamkeit gewährleistet,für unter,Richtlinie 2013 48 Herstellung
Vertrauen,also verbessern,Angelegenheiten
Vertrauen,die Erkennung verbessern,Strafsachen
Richtlinie,stärken,Vertrauen
Vertrauen,verbessern,gegenseitige Anerkennung
Richtlinie,Ziele von,Mindestregeln bzgl
Vertrauen,verbessern so die Erkennung in,Angelegenheiten
Richtlinie,Ziele von,Festlegung gemeinsamer Mindestregeln für
Vertrauen,somit verbessern,Anerkennung von Entscheidungen
Richtlinie,Ziele,zur Stärkung der
Vertrauen,verbessern,Angelegenheiten
Richtlinie,stärken,Vertrauen der Mitgliedstaaten
Vertrauen,verbessern,gegenseitige Anerkennung von Entscheidungen
Vertrauen,verbessern so die Erkennung in,Strafsachen
Vertrauen,somit verbessern,Erkennung
Vertrauen,die Erkennung verbessern,Angelegenheiten
Vertrauen,verbessern,Strafsachen
Vertrauen,somit verbessern,gegenseitige Anerkennung von Entscheidungen
Richtlinie,Ziele,stärken
Richtlinie,Ziele von,Festlegung von Mindestregeln bzgl
Vertrauen,verbessern,Erkennung
Richtlinie,Ziele von,gemeinsame Mindestregeln
Vertrauen,also verbessern,Strafsachen
Vertrauen,verbessern,Anerkennung von Entscheidungen
Richtlinie,Ziele von,gemeinsame Mindestregeln bzgl
Vertrauen,somit verbessern,gegenseitige Anerkennung
Richtlinie,Ziele von,Mindestregeln
Richtlinie,Ziele von,Festlegung gemeinsamer Mindestregeln
andere,In,Strafjustizsysteme
Richtlinie,Ziele von,Festlegung von Mindestregeln
Rechts,Absatz von,Konvention zum Schutz der Menschenrechte
Artikel 47,des Absatzes ist,C
Europäische Konvention,des Absatzes ist,C
Rechts,Absatz von,Europäische Konvention
Rechts,dritter Absatz von,Europäisches Schutzübereinkommen
Rechts,dritter Absatz von,Konvention zum Schutz der Menschenrechte
Rechts,Absatz von,Konvention
Rechts,dritter Absatz von,Artikel 47 der Charta der Grundrechte der Europäischen Union
Rechts,Absatz von,Artikel 47
Rechts,Absatz von,Übereinkommen zum Schutz
Rechts,Absatz von,Artikel 47 Charta der Grundrechte der Europäischen Union
Rechts,dritter Absatz von,Übereinkommen zum Schutz
Rechts,Absatz von,Europäisches Schutzübereinkommen
Rechts,dritter Absatz von,Artikel 47 Charta
Rechts,Absatz von,Artikel 47 der Charta der Grundrechte der Europäischen Union
Rechtshilfe,ist in,Strafverfahren
Rechts,dritter Absatz von,Europäische Konvention
Rechts,dritter Absatz von,Artikel 47
Artikel 47,des Absatzes ist,Charta
Rechts,dritter Absatz von,Artikel 47 Charta der Grundrechte
Rechts,dritter Absatz von,Artikel 47 Charta der Grundrechte der Europäischen Union
Rechts,Absatz von,Artikel 47 der Charta
Rechts,Absatz von,Artikel 47 Charta der Grundrechte
Rechts,dritter Absatz von,Artikel 47 der Charta
Rechts,dritter Absatz von,Konvention
Internationaler Pakt,des Artikels ist,D
Europäische Konvention,des Absatzes ist,Charta
Rechts,dritter Absatz von,Artikel 47 der Charta der Grundrechte
Europäische Konvention,des Absatzes ist,Artikel 6 3
Artikel 47,des Absatzes ist,Artikel 6 3
Rechts,Absatz von,Artikel 47 der Charta der Grundrechte
Rechts,Absatz von,Artikel 47 Charta
Charta,hat,haben dieselbe rechtliche Bedeutung wie Verträge
Charta,hat,rechtliche Bedeutung als Verträge haben
Charta,hat,gleichen Wert
Mitgliedsstaaten,Sind,Parteien
Charta,hat,Wert als Verträge haben
Charta,hat,gleichen Wert wie Verträge
Charta,hat,gleicher Rechtswert
Mitgliedsstaaten,sind Parteien von,EMRK
Charta,hat,Wert
Charta,hat,rechtlicher Wert
dritte Seite,kommunizieren mit,Konsularbehörden
Party,kommunizieren mit,Personen
dritte Seite,kommunizieren mit,Personen
Rat,ist in,Europäisches Haftbefehlsverfahren
dritte Seite,kommunizieren,während beraubt
Party,kommunizieren mit,Dritte Personen
Party,darüber informiert,Freiheitsberaubung
dritte Seite,kommunizieren,der Freiheit beraubt
Party,kommunizieren mit,Konsularbehörden
dritte Seite,kommunizieren mit,Dritte Personen
dritte Seite,darüber informiert,Freiheitsberaubung
dritte Seite,kommunizieren,beraubt
Party,kommunizieren,während beraubt
Party,kommunizieren,während der Freiheit beraubt
Rechtsanwalt,ist in,Strafverfahren
dritte Seite,darüber informiert,Entbehrung
Party,kommunizieren,beraubt
dritte Seite,kommunizieren,während der Freiheit beraubt
Party,darüber informiert,Entbehrung
Party,kommunizieren mit,Behörden
dritte Seite,kommunizieren mit,Behörden
Party,kommunizieren,der Freiheit beraubt
verdächtige Personen,der Rechte ist,Roadmap
verdächtige Personen,ist in,Strafverfahren
Roadmap,fordert,Annahme
Roadmap,fordert,Verabschiedung von Maßnahmen
Roadmap,ruft genau nach,Maß A
Roadmap,Nehmen,Schritt-für-Schritt-Ansatz
Rechts,besondere Schutzmaßnahmen für,Verdächtige
Roadmap,Anrufe,Recht auf Auskunft über Rechte bezüglich Gebühren
Roadmap,ruft genau nach,Verabschiedung von Maßnahmen
Roadmap,Anrufe,Recht auf Information
Rechts,Recht auf,Rechtsberatung
Rechts,Schutzmaßnahmen für,Verdächtige
Roadmap,ruft genau nach,Maß A
Roadmap,ruft genau nach,Ergreifung von Maßnahmen bzgl
Roadmap,fordert,Maß A
Information,nach rechts ist,Rechts
Mittel,der Adoption ist,Maß A
Roadmap,fordert,Ergreifung von Maßnahmen bzgl
Roadmap,ruft genau nach,Annahme
Roadmap,Anrufe,Recht auf Auskunft über Rechte
Roadmap,Nehmen,schrittweiser Ansatz
Roadmap,Anrufe,Rechts
Roadmap,Anrufe,Rechts
Roadmap,fordert,Maß A
europäischer Rat,gemacht,Es ist Teil des Stockholmer Programms
europäischer Rat,gemacht,es Teil
Es,Teil von,Punkt 2.4
Es,Teil von,2
europäischer Rat,begrüßt,Roadmap
Es,Teil von,Stockholm-Programm
bessere Zusammenarbeit,ist in,Bereich
Kommission,prüfen,weitere Elemente von Mindestrechten für Verdächtige
europäischer Rat,einladend,prüfen
Kommission,prüfen,weitere Elemente von Mindestverfahrensrechten
Kommission,prüfen,Elemente von Mindestrechten
europäischer Rat,bewerten,ob
Kommission,prüfen,weitere Elemente der Verfahrensrechte
Kommission,prüfen,Elemente der Rechte von Verdächtigen
Kommission,prüfen,weitere Elemente für Verdächtige
europäischer Rat,einladend,prüfen
Kommission,prüfen,weitere Elemente der Verfahrensrechte für Verdächtige
europäischer Rat,unterstrichen,nicht erschöpfender Charakter
