en_Subject,en_Predicate,en_Object,Triple_ID
legal aid,on council is,acting in ordinary legislative procedure,directive_(eu)_2016_1919_en.txt
requested persons,is in,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt
effectiveness provided,for under,directive 2013 48,directive_(eu)_2016_1919_en.txt
effectiveness provided,for under,directive 2013 48 eu making,directive_(eu)_2016_1919_en.txt
effectiveness provided,for under,directive 2013 48 eu european parliament making,directive_(eu)_2016_1919_en.txt
european parliament,criminal proceedings,council,directive_(eu)_2016_1919_en.txt
article 82 2,of point is,b,directive_(eu)_2016_1919_en.txt
regard,having,after consulting,directive_(eu)_2016_1919_en.txt
european parliament,persons,council,directive_(eu)_2016_1919_en.txt
suspects,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt
european parliament,requested persons,council,directive_(eu)_2016_1919_en.txt
purpose,effectiveness of,right,directive_(eu)_2016_1919_en.txt
regard,having regard,consulting,directive_(eu)_2016_1919_en.txt
regard,having,1,directive_(eu)_2016_1919_en.txt
regard,having,regard to opinion,directive_(eu)_2016_1919_en.txt
european parliament,proceedings,council,directive_(eu)_2016_1919_en.txt
purpose,effectiveness of,right of access,directive_(eu)_2016_1919_en.txt
purpose,effectiveness of,right of access to lawyer,directive_(eu)_2016_1919_en.txt
regard,having,regard,directive_(eu)_2016_1919_en.txt
regard,having,consulting,directive_(eu)_2016_1919_en.txt
effectiveness provided,for under,directive 2013 48 eu,directive_(eu)_2016_1919_en.txt
effectiveness provided,for under,directive 2013 48 eu european parliament,directive_(eu)_2016_1919_en.txt
council,acting in,ordinary legislative procedure,directive_(eu)_2016_1919_en.txt
26 october 2016,of council is,acting in ordinary legislative procedure,directive_(eu)_2016_1919_en.txt
council framework decision 2002 584,pursuant proceedings is,requested persons,directive_(eu)_2016_1919_en.txt
opinion,to regard is,1,directive_(eu)_2016_1919_en.txt
regard,having,regard to opinion of european economic social committee,directive_(eu)_2016_1919_en.txt
regard,having regard,after consulting,directive_(eu)_2016_1919_en.txt
effectiveness provided,for under,directive 2013 48 making,directive_(eu)_2016_1919_en.txt
trust,thus improve in,matters,directive_(eu)_2016_1919_en.txt
trust,improve recognition in,criminal matters,directive_(eu)_2016_1919_en.txt
directive,strengthen,trust,directive_(eu)_2016_1919_en.txt
trust,improve,mutual recognition,directive_(eu)_2016_1919_en.txt
directive,aims by,minimum rules concerning,directive_(eu)_2016_1919_en.txt
trust,thus improve recognition in,matters,directive_(eu)_2016_1919_en.txt
directive,aims by,establishing common minimum rules concerning,directive_(eu)_2016_1919_en.txt
trust,thus improve,recognition of decisions,directive_(eu)_2016_1919_en.txt
directive,aims,to strengthen,directive_(eu)_2016_1919_en.txt
trust,improve in,matters,directive_(eu)_2016_1919_en.txt
directive,strengthen,trust of member states,directive_(eu)_2016_1919_en.txt
trust,improve,mutual recognition of decisions,directive_(eu)_2016_1919_en.txt
trust,thus improve recognition in,criminal matters,directive_(eu)_2016_1919_en.txt
trust,thus improve,recognition,directive_(eu)_2016_1919_en.txt
trust,improve recognition in,matters,directive_(eu)_2016_1919_en.txt
trust,improve in,criminal matters,directive_(eu)_2016_1919_en.txt
trust,thus improve,mutual recognition of decisions,directive_(eu)_2016_1919_en.txt
directive,aims,strengthen,directive_(eu)_2016_1919_en.txt
directive,aims by,establishing minimum rules concerning,directive_(eu)_2016_1919_en.txt
trust,improve,recognition,directive_(eu)_2016_1919_en.txt
directive,aims by,common minimum rules,directive_(eu)_2016_1919_en.txt
trust,thus improve in,criminal matters,directive_(eu)_2016_1919_en.txt
trust,improve,recognition of decisions,directive_(eu)_2016_1919_en.txt
directive,aims by,common minimum rules concerning,directive_(eu)_2016_1919_en.txt
trust,thus improve,mutual recognition,directive_(eu)_2016_1919_en.txt
directive,aims by,minimum rules,directive_(eu)_2016_1919_en.txt
directive,aims by,establishing common minimum rules,directive_(eu)_2016_1919_en.txt
other,in,criminal justice systems,directive_(eu)_2016_1919_en.txt
directive,aims by,establishing minimum rules,directive_(eu)_2016_1919_en.txt
right,paragraph of,convention for protection of human rights,directive_(eu)_2016_1919_en.txt
article 47,of paragraph is,c,directive_(eu)_2016_1919_en.txt
european convention,of paragraph is,c,directive_(eu)_2016_1919_en.txt
right,paragraph of,european convention,directive_(eu)_2016_1919_en.txt
right,third paragraph of,european convention for protection,directive_(eu)_2016_1919_en.txt
right,third paragraph of,convention for protection of human rights,directive_(eu)_2016_1919_en.txt
right,paragraph of,convention,directive_(eu)_2016_1919_en.txt
right,third paragraph of,article 47 of charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47,directive_(eu)_2016_1919_en.txt
right,paragraph of,convention for protection,directive_(eu)_2016_1919_en.txt
right,paragraph of,article 47 charter of fundamental rights of european union,directive_(eu)_2016_1919_en.txt
