fr_Subject,fr_Predicate,fr_Object,Triple_ID
l'aide juridique,au conseil est,statuant selon la procedure legislative ordinaire,directive_(eu)_2016_1919_en.txt
personnes demandees,est dans,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt
efficacite assuree,pour moins,directive 2013 48,directive_(eu)_2016_1919_en.txt
efficacite assuree,pour moins,directive 2013 48 eu faisant,directive_(eu)_2016_1919_en.txt
efficacite assuree,pour moins,directive 2013 48 ue parlement europeen fabrication,directive_(eu)_2016_1919_en.txt
Parlement europeen,procedure penale,conseil,directive_(eu)_2016_1919_en.txt
article 82 2,de point est,b,directive_(eu)_2016_1919_en.txt
egard,ayant,apres consultation,directive_(eu)_2016_1919_en.txt
Parlement europeen,personnes,conseil,directive_(eu)_2016_1919_en.txt
suspects,est dans,procedure penale,directive_(eu)_2016_1919_en.txt
Parlement europeen,personnes,conseil,directive_(eu)_2016_1919_en.txt
Parlement europeen,personnes demandees,conseil,directive_(eu)_2016_1919_en.txt
but,Efficacite de,droite,directive_(eu)_2016_1919_en.txt
egard,eu egard,consultant,directive_(eu)_2016_1919_en.txt
egard,ayant,1,directive_(eu)_2016_1919_en.txt
egard,ayant,egard a l'opinion,directive_(eu)_2016_1919_en.txt
Parlement europeen,procedure,conseil,directive_(eu)_2016_1919_en.txt
but,Efficacite de,droit d'acces,directive_(eu)_2016_1919_en.txt
but,Efficacite de,droit d'acces a un avocat,directive_(eu)_2016_1919_en.txt
egard,ayant,egard,directive_(eu)_2016_1919_en.txt
egard,ayant,consultant,directive_(eu)_2016_1919_en.txt
efficacite assuree,pour moins,directive 2013 48 ue,directive_(eu)_2016_1919_en.txt
efficacite assuree,pour moins,directive 2013 48 ue parlement europeen,directive_(eu)_2016_1919_en.txt
conseil,agissant dans,procedure legislative ordinaire,directive_(eu)_2016_1919_en.txt
26 octobre 2016,du conseil est,statuant selon la procedure legislative ordinaire,directive_(eu)_2016_1919_en.txt
decision-cadre du conseil 2002 584,suite a une procedure est,personnes demandees,directive_(eu)_2016_1919_en.txt
avis,considerer est,1,directive_(eu)_2016_1919_en.txt
