de_Subject,de_Predicate,de_Object,Triple_ID,de_Subject_concept,de_Predicate_concept,de_Object_concept
Rechtshilfe,im Rat ist,Handeln im ordentlichen Gesetzgebungsverfahren,directive_(eu)_2016_1919_en.txt,-,-,-
gesuchte Personen,ist in,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt,-,-,-
Wirksamkeit gewahrleistet,fur unter,Richtlinie 2013 48,directive_(eu)_2016_1919_en.txt,-,-,-
Wirksamkeit gewahrleistet,fur unter,Richtlinie 2013 48 EU-Herstellung,directive_(eu)_2016_1919_en.txt,-,-,-
Wirksamkeit gewahrleistet,fur unter,Richtlinie 2013 48 EU Europaisches Parlament,directive_(eu)_2016_1919_en.txt,-,-,-
Europaisches Parlament,Strafverfahren,Rat,directive_(eu)_2016_1919_en.txt,-,Strafverfahren,-
Artikel 82 2,der Punkt ist,B,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,haben,nach Rucksprache mit,directive_(eu)_2016_1919_en.txt,-,-,-
Europaisches Parlament,Personen,Rat,directive_(eu)_2016_1919_en.txt,-,-,-
Verdachtige,ist in,Strafverfahren,directive_(eu)_2016_1919_en.txt,-,-,Strafverfahren
Europaisches Parlament,gesuchte Personen,Rat,directive_(eu)_2016_1919_en.txt,-,-,-
Zweck,Wirksamkeit von,Rechts,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,Kenntnis,Beratung,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,haben,1,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,haben,Rucksicht auf die Meinung,directive_(eu)_2016_1919_en.txt,-,-,-
Europaisches Parlament,Verfahren,Rat,directive_(eu)_2016_1919_en.txt,-,-,-
Zweck,Wirksamkeit von,Zugangsrecht,directive_(eu)_2016_1919_en.txt,-,-,-
Zweck,Wirksamkeit von,Recht auf Zugang zu einem Anwalt,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,haben,betrachten,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,haben,Beratung,directive_(eu)_2016_1919_en.txt,-,-,-
Wirksamkeit gewahrleistet,fur unter,Richtlinie 2013 48 eu,directive_(eu)_2016_1919_en.txt,-,-,-
Wirksamkeit gewahrleistet,fur unter,Richtlinie 2013 48 EU Europaisches Parlament,directive_(eu)_2016_1919_en.txt,-,-,-
Rat,handeln,ordentliches Gesetzgebungsverfahren,directive_(eu)_2016_1919_en.txt,-,-,-
26. Oktober 2016,des Rates ist,Handeln im ordentlichen Gesetzgebungsverfahren,directive_(eu)_2016_1919_en.txt,-,-,-
Rahmenbeschluss des Rates 2002 584,nach Verfahren ist,gesuchte Personen,directive_(eu)_2016_1919_en.txt,Rahmenbeschluss,-,-
Meinung,betrachten ist,1,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,haben,im Hinblick auf die Stellungnahme des Europaischen Wirtschafts- und Sozialausschusses,directive_(eu)_2016_1919_en.txt,-,-,-
betrachten,Kenntnis,nach Rucksprache mit,directive_(eu)_2016_1919_en.txt,-,-,-
Wirksamkeit gewahrleistet,fur unter,Richtlinie 2013 48 Herstellung,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,also verbessern,Angelegenheiten,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,die Erkennung verbessern,Strafsachen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,starken,Vertrauen,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern,gegenseitige Anerkennung,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,Mindestregeln bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern so die Erkennung in,Angelegenheiten,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,Festlegung gemeinsamer Mindestregeln fur,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,somit verbessern,Anerkennung von Entscheidungen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele,zur Starkung der,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern,Angelegenheiten,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,starken,Vertrauen der Mitgliedstaaten,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern,gegenseitige Anerkennung von Entscheidungen,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern so die Erkennung in,Strafsachen,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,somit verbessern,Erkennung,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,die Erkennung verbessern,Angelegenheiten,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,verbessern,Strafsachen,directive_(eu)_2016_1919_en.txt,-,-,-
Vertrauen,somit verbessern,gegenseitige Anerkennung von Entscheidungen,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele,starken,directive_(eu)_2016_1919_en.txt,-,-,-
Richtlinie,Ziele durch,Festlegung von Mindestregeln bzgl,directive_(eu)_2016_1919_en.txt,-,-,-
