en_Subject,en_Predicate,en_Object,Triple_ID,en_Subject_concept,en_Predicate_concept,en_Object_concept
legal aid,on council is,acting in ordinary legislative procedure,directive_(eu)_2016_1919_en.txt,legality:legalactions:legalaid:aid:legalaid:legal aid,-,subcontracting:criminalprocedure:legislative procedure
requested persons,is in,european arrest warrant proceedings,directive_(eu)_2016_1919_en.txt,-,-,european:europeanconvention:arrest:arrested:warrant:european arrest warrant
effectiveness provided,for under,directive 2013 48,directive_(eu)_2016_1919_en.txt,-,-,directive:directives
effectiveness provided,for under,directive 2013 48 eu making,directive_(eu)_2016_1919_en.txt,-,-,directive:directives:Ceuta:entrepreneur:entrepreneurship:eugenics:euro:euthanasia:eutrophication:liqueur:museum:neurobiology:neurology:neutrality:pasteurisation:petroleum:Reunion:therapeutics:european:therapeutic:europeanconvention:bread-making:decision-making:pastry-making
effectiveness provided,for under,directive 2013 48 eu european parliament making,directive_(eu)_2016_1919_en.txt,-,-,directive:directives:Ceuta:entrepreneur:entrepreneurship:eugenics:euro:euthanasia:eutrophication:liqueur:museum:neurobiology:neurology:neutrality:pasteurisation:petroleum:Reunion:therapeutics:european:therapeutic:europeanconvention:european:europeanconvention:parliament:nationalparliaments:bread-making:decision-making:pastry-making:european parliament
european parliament,criminal proceedings,council,directive_(eu)_2016_1919_en.txt,european:europeanconvention:parliament:nationalparliaments:european parliament,criminalprocedure:criminal proceedings,-
article 82 2,of point is,b,directive_(eu)_2016_1919_en.txt,article,-,abortion:Abruzzi:absenteeism:abstentionism:admissibility:Albania:antibiotic:arbitrage:arbitration:arboriculture:Aruba:asbestos:Azerbaijan:Baden-Wurttemberg:bailiff:bakery:bank:banking:bankruptcy:bar:Barbados:barge:barley:barrister:barter:bauxite:bearing:beef:beer:benchmarking:beryllium:beverage:bibliography:bilingualism:bio-ethics:bio-industry:biochemistry:bioclimatology:bioconversion:biodegradability:biodiversity:bioenergy:biogas:biography:biology:biomass:biomaterials:biometrics:bioprocess:biosphere:biotechnology:biotope:bipolarisation:bird:births:bismuth:boiler:bomber:bond:bookshop:borrowing:botany:bottling:branch:Brandenburg:bread:bread-making:breadwinner:brick:broadcasting:broker:bromine:browser:brucellosis:buckwheat:budget:building:bull:bus:butane:butter:by-catch:by-election:by-product:Calabria:Cambodia:Cantabria:carbon:cobalt:cohabitation:Colombia:Cuba:cybernetics:database:debt:diabetes:distributor:Djibouti:eco-label:embassy:establishment:Euribor:Eurobond:ferryboat:Gabon:Gambia:Gibraltar:globalisation:haberdashery:habitat:Hamburg:herbicide:hydrocarbon:icebreaker:incompatibility:incunabula:indebtedness:Kiribati:labelling:Lebanon:liability:Liberalism:Liberec:Liberia:library:Libya:Limburg:Lombardy:lubricants:Luxembourg:Maghreb:molybdenum:Mozambique:Namibia:neurobiology:Obalno-kraska:observation:observer:paperboard:Pardubice:plebiscite:prefabrication:profitability:publication:publisher:publishing:rabbit:rabies:radiobiology:republic:robotics:robotisation:Saba:Salzburg:sea-bed:Serbia:shipbuilding:Stabex:sub-proletariat:subcontracting:submarine:subsidiary:tobacco:traceability:tube:turbine:Umbria:UN-Habitat:urbanisation:Uzbekistan:vegetable:Vorarlberg:waveband:xenophobia:yearbook:Zambia:Zimbabwe:birth:belgium:databases:luxembourg:parentalresponsibility
regard,having,after consulting,directive_(eu)_2016_1919_en.txt,-,-,-
european parliament,persons,council,directive_(eu)_2016_1919_en.txt,european:europeanconvention:parliament:nationalparliaments:european parliament,-,-
suspects,is in,criminal proceedings,directive_(eu)_2016_1919_en.txt,-,-,criminalprocedure:criminal proceedings
european parliament,persons,council,directive_(eu)_2016_1919_en.txt,european:europeanconvention:parliament:nationalparliaments:european parliament,-,-
european parliament,requested persons,council,directive_(eu)_2016_1919_en.txt,european:europeanconvention:parliament:nationalparliaments:european parliament,-,-
purpose,effectiveness of,right,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights
regard,having regard,consulting,directive_(eu)_2016_1919_en.txt,-,-,-
regard,having,1,directive_(eu)_2016_1919_en.txt,-,-,-
regard,having,regard to opinion,directive_(eu)_2016_1919_en.txt,-,-,opinion
european parliament,proceedings,council,directive_(eu)_2016_1919_en.txt,european:europeanconvention:parliament:nationalparliaments:european parliament,-,-
purpose,effectiveness of,right of access,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights
purpose,effectiveness of,right of access to lawyer,directive_(eu)_2016_1919_en.txt,-,-,copyright:Euroright:humanrights
regard,having,regard,directive_(eu)_2016_1919_en.txt,-,-,-
regard,having,consulting,directive_(eu)_2016_1919_en.txt,-,-,-
effectiveness provided,for under,directive 2013 48 eu,directive_(eu)_2016_1919_en.txt,-,-,directive:directives:Ceuta:entrepreneur:entrepreneurship:eugenics:euro:euthanasia:eutrophication:liqueur:museum:neurobiology:neurology:neutrality:pasteurisation:petroleum:Reunion:therapeutics:european:therapeutic:europeanconvention
effectiveness provided,for under,directive 2013 48 eu european parliament,directive_(eu)_2016_1919_en.txt,-,-,directive:directives:Ceuta:entrepreneur:entrepreneurship:eugenics:euro:euthanasia:eutrophication:liqueur:museum:neurobiology:neurology:neutrality:pasteurisation:petroleum:Reunion:therapeutics:european:therapeutic:europeanconvention:european:europeanconvention:parliament:nationalparliaments:european parliament
