fr_Subject,fr_Predicate,fr_Object,Triple_ID,fr_Subject_concept,fr_Predicate_concept,fr_Object_concept
l'aide juridique,au conseil est,statuant selon la procedure legislative ordinaire,directive_(eu)_2016_1919_en.txt,-,-,procedure legislative
personnes demandees,est dans,procedure de mandat d'arret europeen,directive_(eu)_2016_1919_en.txt,personnel,-,mandat:mandat darret europeen
efficacite assuree,pour moins,directive 2013 48,directive_(eu)_2016_1919_en.txt,-,-,directive
efficacite assuree,pour moins,directive 2013 48 eu faisant,directive_(eu)_2016_1919_en.txt,-,-,directive
efficacite assuree,pour moins,directive 2013 48 ue parlement europeen fabrication,directive_(eu)_2016_1919_en.txt,-,-,directive:parlement:Parlement europeen
Parlement europeen,procedure penale,conseil,directive_(eu)_2016_1919_en.txt,parlement:Parlement europeen,procedure penale:procedure speciale,-
article 82 2,de point est,b,directive_(eu)_2016_1919_en.txt,-,-,-
egard,ayant,apres consultation,directive_(eu)_2016_1919_en.txt,-,-,-
Parlement europeen,personnes,conseil,directive_(eu)_2016_1919_en.txt,parlement:Parlement europeen,personnel,-
suspects,est dans,procedure penale,directive_(eu)_2016_1919_en.txt,-,-,procedure penale:procedure speciale
Parlement europeen,personnes,conseil,directive_(eu)_2016_1919_en.txt,parlement:Parlement europeen,personnel,-
Parlement europeen,personnes demandees,conseil,directive_(eu)_2016_1919_en.txt,parlement:Parlement europeen,personnel,-
but,Efficacite de,droite,directive_(eu)_2016_1919_en.txt,-,-,-
egard,eu egard,consultant,directive_(eu)_2016_1919_en.txt,-,-,-
egard,ayant,1,directive_(eu)_2016_1919_en.txt,-,-,-
egard,ayant,egard a l'opinion,directive_(eu)_2016_1919_en.txt,-,-,-
Parlement europeen,procedure,conseil,directive_(eu)_2016_1919_en.txt,parlement:Parlement europeen,-,-
but,Efficacite de,droit d'acces,directive_(eu)_2016_1919_en.txt,-,-,-
but,Efficacite de,droit d'acces a un avocat,directive_(eu)_2016_1919_en.txt,-,-,avocat
egard,ayant,egard,directive_(eu)_2016_1919_en.txt,-,-,-
egard,ayant,consultant,directive_(eu)_2016_1919_en.txt,-,-,-
efficacite assuree,pour moins,directive 2013 48 ue,directive_(eu)_2016_1919_en.txt,-,-,directive
efficacite assuree,pour moins,directive 2013 48 ue parlement europeen,directive_(eu)_2016_1919_en.txt,-,-,directive:parlement:Parlement europeen
conseil,agissant dans,procedure legislative ordinaire,directive_(eu)_2016_1919_en.txt,-,-,procedure legislative
26 octobre 2016,du conseil est,statuant selon la procedure legislative ordinaire,directive_(eu)_2016_1919_en.txt,-,-,procedure legislative
decision-cadre du conseil 2002 584,suite a une procedure est,personnes demandees,directive_(eu)_2016_1919_en.txt,decision-cadre,-,personnel
avis,considerer est,1,directive_(eu)_2016_1919_en.txt,avis,-,-
egard,ayant,vu l'avis du comite economique et social europeen,directive_(eu)_2016_1919_en.txt,-,-,comte:economie
egard,eu egard,apres consultation,directive_(eu)_2016_1919_en.txt,-,-,-
efficacite assuree,pour moins,directive 2013 48 fabrication,directive_(eu)_2016_1919_en.txt,-,-,directive
confiance,donc s'ameliorer dans,questions,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer la reconnaissance dans,affaires criminelles,directive_(eu)_2016_1919_en.txt,-,-,-
directif,renforcer,confiance,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer,reconnaissance mutuelle,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,regles minimales concernant,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorent ainsi la reconnaissance dans,questions,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,etablissant des regles minimales communes concernant,directive_(eu)_2016_1919_en.txt,-,-,commune
confiance,ainsi ameliorer,reconnaissance des decisions,directive_(eu)_2016_1919_en.txt,-,-,decision
directif,objectifs,a renforcer,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer dans,questions,directive_(eu)_2016_1919_en.txt,-,-,-
directif,renforcer,confiance des Etats membres,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer,reconnaissance mutuelle des decisions,directive_(eu)_2016_1919_en.txt,-,-,decision
confiance,ameliorent ainsi la reconnaissance dans,affaires criminelles,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ainsi ameliorer,reconnaissance,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer la reconnaissance dans,questions,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer dans,affaires criminelles,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ainsi ameliorer,reconnaissance mutuelle des decisions,directive_(eu)_2016_1919_en.txt,-,-,decision
directif,objectifs,renforcer,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,etablissant des regles minimales concernant,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer,reconnaissance,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,regles minimales communes,directive_(eu)_2016_1919_en.txt,-,-,commune
confiance,donc s'ameliorer dans,affaires criminelles,directive_(eu)_2016_1919_en.txt,-,-,-
confiance,ameliorer,reconnaissance des decisions,directive_(eu)_2016_1919_en.txt,-,-,decision
directif,vise par,regles minimales communes concernant,directive_(eu)_2016_1919_en.txt,-,-,commune
confiance,ainsi ameliorer,reconnaissance mutuelle,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,regles minimales,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,etablissant des regles minimales communes,directive_(eu)_2016_1919_en.txt,-,-,commune
autre,dans,systemes de justice penale,directive_(eu)_2016_1919_en.txt,-,-,-
directif,vise par,etablir des regles minimales,directive_(eu)_2016_1919_en.txt,-,-,-
droite,paragraphe de,convention pour la protection des droits de l'homme,directive_(eu)_2016_1919_en.txt,-,-,droits de lhomme
Article 47,du paragraphe est,c,directive_(eu)_2016_1919_en.txt,-,-,-
convention europeenne,du paragraphe est,c,directive_(eu)_2016_1919_en.txt,convention europeenne,-,-
droite,paragraphe de,convention europeenne,directive_(eu)_2016_1919_en.txt,-,-,convention europeenne
droite,troisieme paragraphe de,convention europeenne de protection,directive_(eu)_2016_1919_en.txt,-,-,convention europeenne
droite,troisieme paragraphe de,convention pour la protection des droits de l'homme,directive_(eu)_2016_1919_en.txt,-,-,droits de lhomme
droite,paragraphe de,convention,directive_(eu)_2016_1919_en.txt,-,-,-
