de_Subject,de_Predicate,de_Object,Triple_ID
-,RICHTLINIE,-,Directive_(EU)_2016_1919_de.pdf
-,tbefehls,uber ostenhilfe,Directive_(EU)_2016_1919_de.pdf
-,1,-,Directive_(EU)_2016_1919_de.pdf
personen,soll,werden,Directive_(EU)_2016_1919_de.pdf
-,ten,-,Directive_(EU)_2016_1919_de.pdf
-,wird,ellt,Directive_(EU)_2016_1919_de.pdf
gegen verfahren,ist,-,Directive_(EU)_2016_1919_de.pdf
-,lfe,-,Directive_(EU)_2016_1919_de.pdf
richtlinie,zielt,gegenseitig zu starken anerken,Directive_(EU)_2016_1919_de.pdf
-,In,-,Directive_(EU)_2016_1919_de.pdf
recht,t.,-,Directive_(EU)_2016_1919_de.pdf
mitg liedstaaten,hat,rechtswirkung,Directive_(EU)_2016_1919_de.pdf
immer mass,hat,wird,Directive_(EU)_2016_1919_de.pdf
-,Amtsblatt,-,Directive_(EU)_2016_1919_de.pdf
vom parlaments er,3)Richtlinie,auf dritten mit,Directive_(EU)_2016_1919_de.pdf
-,4)Rahmenbeschluss,-,Directive_(EU)_2016_1919_de.pdf
am rat,hat,1 im 1 angenommen,Directive_(EU)_2016_1919_de.pdf
n,wird,massnahme fur,Directive_(EU)_2016_1919_de.pdf
-,.,personen,Directive_(EU)_2016_1919_de.pdf
am rat,hat,ihn,Directive_(EU)_2016_1919_de.pdf
beispielsweise g ange gang,und,zusammenarbeit,Directive_(EU)_2016_1919_de.pdf
bisher massnahmen,wurden,gemass angenommen,Directive_(EU)_2016_1919_de.pdf
-,ifft,teil,Directive_(EU)_2016_1919_de.pdf
nhilfe,sollte,kosten,Directive_(EU)_2016_1919_de.pdf
es,beschuldigt e,kosten selbst zu tragen,Directive_(EU)_2016_1919_de.pdf
lange und ausnahme,sollte,die vorubergehend en die aus,Directive_(EU)_2016_1919_de.pdf
wird igten sie,sollte,nach unionsrechts gerichtshof,Directive_(EU)_2016_1919_de.pdf
in person,nimmt,in bezug,Directive_(EU)_2016_1919_de.pdf
wird befragung e,werden,-,Directive_(EU)_2016_1919_de.pdf
nun person ist sie,sollte,schrankt wahr nehmen,Directive_(EU)_2016_1919_de.pdf
die,ist,-,Directive_(EU)_2016_1919_de.pdf
die,kann,nach estellt,Directive_(EU)_2016_1919_de.pdf
in es,ware,en recht,Directive_(EU)_2016_1919_de.pdf
rich tlinie,sollt,vor anwe finden,Directive_(EU)_2016_1919_de.pdf
-,vom 4.5.2010,-,Directive_(EU)_2016_1919_de.pdf
-,.,-,Directive_(EU)_2016_1919_de.pdf
-,4)Richtlinie,-,Directive_(EU)_2016_1919_de.pdf
-,5)Richtlinie,-,Directive_(EU)_2016_1919_de.pdf
