de_Subject,de_Predicate,de_Object,Triple_ID
WHO,Richtlinien,zum Rahmenbeschluss des Rates,directive_(eu)_2016_1919_en.txt
angeforderte Weisung,Ziele,Strafsachen,directive_(eu)_2016_1919_en.txt
dritter Absatz,verankern,in Ruckstellungen,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,hat,zu echr,directive_(eu)_2016_1919_en.txt
Das,gezeigt,andere Mitgliedsstaaten,directive_(eu)_2016_1919_en.txt
-,C,-,directive_(eu)_2016_1919_en.txt
-,Position von,13. Ratstag,directive_(eu)_2016_1919_en.txt
dritte Seite,Richtlinie,der Freiheit,directive_(eu)_2016_1919_en.txt
-,Entscheidung,zwischen den Mitgliedsstaaten,directive_(eu)_2016_1919_en.txt
-,-,der Europaischen Union,directive_(eu)_2016_1919_en.txt
Rat 2009,angenommen,1 Roadmap,directive_(eu)_2016_1919_en.txt
Angeklagter wer,fordert,fur Massnahmenverdachtige,directive_(eu)_2016_1919_en.txt
Es,begrusst,im Dienste der Burger,directive_(eu)_2016_1919_en.txt
andere Probleme,unterstrichen,im Bereich,directive_(eu)_2016_1919_en.txt
funf Massnahmen,angenommen gem,Rat,directive_(eu)_2016_1919_en.txt
7 Richtlinie,bezieht sich auf,Rechtshilfe,directive_(eu)_2016_1919_en.txt
Rechtshilfe,Abdeckung,von Verdachtigen,directive_(eu)_2016_1919_en.txt
fahige Verdachtige,in der Lage sein,finanzielle Resourcen,directive_(eu)_2016_1919_en.txt
wo Mitgliedsstaaten,anwenden,eine solche Ausnahmeregelung,directive_(eu)_2016_1919_en.txt
beschuldigte Person,haben,der Menschenrechte,directive_(eu)_2016_1919_en.txt
wo Person,macht Express,Strafverfahren,directive_(eu)_2016_1919_en.txt
Befragung des Angeklagten,ausgesetzt,als verdachtig,directive_(eu)_2016_1919_en.txt
Angeklagter wird zur Person,moglich sein,in der Richtlinie,directive_(eu)_2016_1919_en.txt
Behorde,hat,geringe Vergehen,directive_(eu)_2016_1919_en.txt
welche,Sei,nach der Verkehrskontrolle,directive_(eu)_2016_1919_en.txt
zustandige unvernunftige Behorden,unvernunftig sein,unter Weisung,directive_(eu)_2016_1919_en.txt
Richtlinie,anwenden,nach Berufung,directive_(eu)_2016_1919_en.txt
-,C,Strafverfahren,directive_(eu)_2016_1919_en.txt
-,Richtlinie,Strafverfahren,directive_(eu)_2016_1919_en.txt
WHO,Richtlinie,Strafverfahren,directive_(eu)_2016_1919_en.txt
geringe Vergehen,berucksichtigt,kommunale Vorschriften,directive_(eu)_2016_1919_en.txt
Richtlinie,anwenden,Strafsachen,directive_(eu)_2016_1919_en.txt
13 Anwendung,ist Gegenstand,in der Richtlinie,directive_(eu)_2016_1919_en.txt
rechtliche Verdienstbeihilfe,in der Lage sein,Mitteltest,directive_(eu)_2016_1919_en.txt
Leistungstest,als angesehen,geringe Vergehen,directive_(eu)_2016_1919_en.txt
14 Umfang,beeintrachtigen,des Anwalts,directive_(eu)_2016_1919_en.txt
Untersuchung,bilden,nationales Gesetz,directive_(eu)_2016_1919_en.txt
16 Richtlinie,legt,Mindestregeln,directive_(eu)_2016_1919_en.txt
Beweishandlungen,in der Lage sein,in der Richtlinie,directive_(eu)_2016_1919_en.txt
wenn Interessen,Sind,der Gerechtigkeit,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,erlaubt,Mitteltest,directive_(eu)_2016_1919_en.txt
verfahrenstechnisch das,Grenze,ecthr,directive_(eu)_2016_1919_en.txt
18 Mitgliedsstaaten,legen,Rechtshilfe,directive_(eu)_2016_1919_en.txt
Rechtshilfe,bestimmen,von Verdachtigen,directive_(eu)_2016_1919_en.txt
Anfrage,Sei,Gewahrung von Prozesskostenhilfe,directive_(eu)_2016_1919_en.txt
Ermittlungsbeweishandlungen,legal gewahren,in der Richtlinie,directive_(eu)_2016_1919_en.txt
Ermittlungsbeweishandlungen,gewahren,solche Fragen,directive_(eu)_2016_1919_en.txt
Deutung,hineinnehmen,der Richtlinie,directive_(eu)_2016_1919_en.txt
gesuchte Personen,haben,ausfuhrender Mitgliedstaat,directive_(eu)_2016_1919_en.txt
rechtliche Fernhilfe,haben,der Charter,directive_(eu)_2016_1919_en.txt
wo Anwalt,Sei,ausstellender Mitgliedstaat,directive_(eu)_2016_1919_en.txt
Das,genommen von,Durchfuhrungsrichtlinie,directive_(eu)_2016_1919_en.txt
Entscheidung aufgegeben,sicherstellen,gib sie ab,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,sicherstellen,echr,directive_(eu)_2016_1919_en.txt
sie tun dies,respektieren,in Strafjustizsystemen,directive_(eu)_2016_1919_en.txt
zustandige Behorde,entscheiden,Rechtshilfe gewahren,directive_(eu)_2016_1919_en.txt
Unabhangig davon,Sei,inklusive Richter,directive_(eu)_2016_1919_en.txt
Bisher das,moglich sein,rechtzeitig,directive_(eu)_2016_1919_en.txt
Einweg,Ist,gesetzliche Vertretung,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,erleichtern,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt
angemessene Ausbildung,bereitgestellt,Europaisches Haftbefehlsverfahren,directive_(eu)_2016_1919_en.txt
Das,Anfrage,Rechtshilfe,directive_(eu)_2016_1919_en.txt
Mitgliedsstaaten,erfordert,Gewerkschaftsrecht,directive_(eu)_2016_1919_en.txt
