en_Subject,en_Predicate,en_Object,Triple_ID
who,directives,to council framework decision,directive_(eu)_2016_1919_en.txt
requested directive,aims,criminal matters,directive_(eu)_2016_1919_en.txt
third paragraph,enshrine,in provisions,directive_(eu)_2016_1919_en.txt
member states,has,to echr,directive_(eu)_2016_1919_en.txt
this,shown,other member states,directive_(eu)_2016_1919_en.txt
-,c,-,directive_(eu)_2016_1919_en.txt
-,position of,13 council october,directive_(eu)_2016_1919_en.txt
third party,directive,of liberty,directive_(eu)_2016_1919_en.txt
-,decision,between member states,directive_(eu)_2016_1919_en.txt
-,-,of european union,directive_(eu)_2016_1919_en.txt
2009 council,adopted,1 roadmap,directive_(eu)_2016_1919_en.txt
accused who,calls for,for measure suspects,directive_(eu)_2016_1919_en.txt
it,welcomed,serving citizens,directive_(eu)_2016_1919_en.txt
other issues,underlined,in area,directive_(eu)_2016_1919_en.txt
five measures,adopted pursuant,council,directive_(eu)_2016_1919_en.txt
7 directive,relates to,legal aid,directive_(eu)_2016_1919_en.txt
legal aid,cover,of suspects,directive_(eu)_2016_1919_en.txt
able suspects,be able,financial resources,directive_(eu)_2016_1919_en.txt
where member states,apply,such derogation,directive_(eu)_2016_1919_en.txt
accused person,have,of human rights,directive_(eu)_2016_1919_en.txt
where person,makes express,criminal proceedings,directive_(eu)_2016_1919_en.txt
accused questioning,suspended,than suspect,directive_(eu)_2016_1919_en.txt
accused become person,be possible,in directive,directive_(eu)_2016_1919_en.txt
authority,has,minor offences,directive_(eu)_2016_1919_en.txt
which,be,following traffic control,directive_(eu)_2016_1919_en.txt
competent unreasonable authorities,be unreasonable,under directive,directive_(eu)_2016_1919_en.txt
directive,apply,following appeal,directive_(eu)_2016_1919_en.txt
-,c,criminal proceedings,directive_(eu)_2016_1919_en.txt
-,directive,criminal proceedings,directive_(eu)_2016_1919_en.txt
who,directive,criminal proceedings,directive_(eu)_2016_1919_en.txt
minor offences,considered,municipal regulations,directive_(eu)_2016_1919_en.txt
directive,apply,criminal matters,directive_(eu)_2016_1919_en.txt
13 application,is subject,in directive,directive_(eu)_2016_1919_en.txt
legal merits aid,be able,means test,directive_(eu)_2016_1919_en.txt
merits test,deemed,minor offences,directive_(eu)_2016_1919_en.txt
14 scope,affect,of lawyer,directive_(eu)_2016_1919_en.txt
investigation,constitute,national law,directive_(eu)_2016_1919_en.txt
16 directive,lays,minimum rules,directive_(eu)_2016_1919_en.txt
evidence acts,be able,in directive,directive_(eu)_2016_1919_en.txt
when interests,are,of justice,directive_(eu)_2016_1919_en.txt
member states,allows,means test,directive_(eu)_2016_1919_en.txt
procedural that,limit,ecthr,directive_(eu)_2016_1919_en.txt
18 member states,lay,legal aid,directive_(eu)_2016_1919_en.txt
legal aid,determine,by suspect,directive_(eu)_2016_1919_en.txt
request,be,granting legal granting aid,directive_(eu)_2016_1919_en.txt
investigative evidence acts,grant legal,in directive,directive_(eu)_2016_1919_en.txt
investigative evidence acts,grant,such questioning,directive_(eu)_2016_1919_en.txt
interpretation,take into,of directive,directive_(eu)_2016_1919_en.txt
requested persons,have,executing member state,directive_(eu)_2016_1919_en.txt
legal far aid,have,of charter,directive_(eu)_2016_1919_en.txt
where lawyer,be,issuing member state,directive_(eu)_2016_1919_en.txt
that,taken by,implementing directive,directive_(eu)_2016_1919_en.txt
surrendered decision,ensure,surrender them,directive_(eu)_2016_1919_en.txt
