fr_Subject,fr_Predicate,fr_Object,Triple_ID
-,2016/1919,-,Directive_(EU)_2016_1919_fr.pdf
dont remise,EUR,procedures relativ,Directive_(EU)_2016_1919_fr.pdf
-,PARLEMENT,-,Directive_(EU)_2016_1919_fr.pdf
dont remise,a,font objet,Directive_(EU)_2016_1919_fr.pdf
-,beneficier,-,Directive_(EU)_2016_1919_fr.pdf
presente directive,-,consequent reconnaissance,Directive_(EU)_2016_1919_fr.pdf
article,consacrent,pidcp rde droit,Directive_(EU)_2016_1919_fr.pdf
-,.,-,Directive_(EU)_2016_1919_fr.pdf
traites etats,a,meme valeur,Directive_(EU)_2016_1919_fr.pdf
adhesion,montre,elle-meme assurer degre,Directive_(EU)_2016_1919_fr.pdf
-,Jour nal,-,Directive_(EU)_2016_1919_fr.pdf
-,1)JO,-,Directive_(EU)_2016_1919_fr.pdf
-,2)Position,-,Directive_(EU)_2016_1919_fr.pdf
-,.,inf ormer tiers,Directive_(EU)_2016_1919_fr.pdf
-,.,-,Directive_(EU)_2016_1919_fr.pdf
2009 conseil,adopt,visant renf orcer droits,Directive_(EU)_2016_1919_fr.pdf
poursuivies qui,demande,concer nant droits,Directive_(EU)_2016_1919_fr.pdf
te kholm qui,salue,point,Directive_(EU)_2016_1919_fr.pdf
autres miner questions,souligne,meilleure ir cooperation,Directive_(EU)_2016_1919_fr.pdf
cinq mesures,adop,-,Directive_(EU)_2016_1919_fr.pdf
route qui,porte,-,Directive_(EU)_2016_1919_fr.pdf
dont remise,devrait,juridictionnelle couvr ir couts,Directive_(EU)_2016_1919_fr.pdf
dont remise,devraient,tent elles suppor tent partie,Directive_(EU)_2016_1919_fr.pdf
etats,devrait,membres derog,Directive_(EU)_2016_1919_fr.pdf
tels ils,devrait,garder iminer silence,Directive_(EU)_2016_1919_fr.pdf
personne,fait,concrete ou,Directive_(EU)_2016_1919_fr.pdf
poursuivie inter,devrait,devient suspect,Directive_(EU)_2016_1919_fr.pdf
poursuivie suspect elle,devrait,r pleinement r droits,Directive_(EU)_2016_1919_fr.pdf
autre juridiction,-,liber que te,Directive_(EU)_2016_1919_fr.pdf
courantes s' agir qui,peut,-,Directive_(EU)_2016_1919_fr.pdf
entes elles,excessif,garantissent ensemble,Directive_(EU)_2016_1919_fr.pdf
presente directive,devrait,renv oyer affaire,Directive_(EU)_2016_1919_fr.pdf
-,Jour nal,-,Directive_(EU)_2016_1919_fr.pdf
-,1)JO,-,Directive_(EU)_2016_1919_fr.pdf
-,2)JO,-,Directive_(EU)_2016_1919_fr.pdf
-,.,-,Directive_(EU)_2016_1919_fr.pdf
-,.,-,Directive_(EU)_2016_1919_fr.pdf
-,.,portant renf orcement,Directive_(EU)_2016_1919_fr.pdf
ts qui,.,-,Directive_(EU)_2016_1919_fr.pdf
membres infractions,considerees,-,Directive_(EU)_2016_1919_fr.pdf
entes elles,excessif,garantissent ensemble,Directive_(EU)_2016_1919_fr.pdf
present imposee directive,prevoit,-,Directive_(EU)_2016_1919_fr.pdf
application,soumise,-,Directive_(EU)_2016_1919_fr.pdf
respecte critere,peut,ne ce qui infractions,Directive_(EU)_2016_1919_fr.pdf
champ,devrait,concer nant garantie,Directive_(EU)_2016_1919_fr.pdf
respecte situations,constituent,identif ier suspect,Directive_(EU)_2016_1919_fr.pdf
il,etablir,ouvr ir enquet,Directive_(EU)_2016_1919_fr.pdf
personne,verifier,autres questions,Directive_(EU)_2016_1919_fr.pdf
-,prendre,mesures,Directive_(EU)_2016_1919_fr.pdf
-,compar,aitre suspect,Directive_(EU)_2016_1919_fr.pdf
presente directive,fixe,regles,Directive_(EU)_2016_1919_fr.pdf
situations qui,devraient,accorder aide,Directive_(EU)_2016_1919_fr.pdf
