fr_Subject,fr_Predicate,fr_Object,Triple_ID
OMS,directives,a la decision-cadre du conseil,directive_(eu)_2016_1919_en.txt
directive demandee,objectifs,affaires criminelles,directive_(eu)_2016_1919_en.txt
troisieme paragraphe,enchasser,dans les provisions,directive_(eu)_2016_1919_en.txt
Etats membres,a,echr,directive_(eu)_2016_1919_en.txt
ce,montre,autres Etats membres,directive_(eu)_2016_1919_en.txt
-,c,-,directive_(eu)_2016_1919_en.txt
-,position de,conseil du 13 octobre,directive_(eu)_2016_1919_en.txt
tierce personne,directif,de liberte,directive_(eu)_2016_1919_en.txt
-,decision,entre les Etats membres,directive_(eu)_2016_1919_en.txt
-,-,de l'union europeenne,directive_(eu)_2016_1919_en.txt
conseil de 2009,adopte,1 feuille de route,directive_(eu)_2016_1919_en.txt
accuse qui,appels pour,pour les suspects de mesure,directive_(eu)_2016_1919_en.txt
il,accueilli,au service des citoyens,directive_(eu)_2016_1919_en.txt
autres issues,souligne,dans la zone,directive_(eu)_2016_1919_en.txt
cinq mesures,adopte en vertu,conseil,directive_(eu)_2016_1919_en.txt
7 directive,se rapporte a,l'aide juridique,directive_(eu)_2016_1919_en.txt
l'aide juridique,couverture,des suspects,directive_(eu)_2016_1919_en.txt
suspects capables,etre capable,ressources financieres,directive_(eu)_2016_1919_en.txt
ou les Etats membres,appliquer,telle derogation,directive_(eu)_2016_1919_en.txt
personne accusee,ont,des droits de l'homme,directive_(eu)_2016_1919_en.txt
ou personne,rend express,procedure penale,directive_(eu)_2016_1919_en.txt
interrogatoire de l'accuse,suspendu,que suspect,directive_(eu)_2016_1919_en.txt
accuse devenu personne,etre possible,dans la directive,directive_(eu)_2016_1919_en.txt
autorite,a,infractions mineures,directive_(eu)_2016_1919_en.txt
qui,etre,apres le controle du trafic,directive_(eu)_2016_1919_en.txt
autorites deraisonnables competentes,etre deraisonnable,sous directive,directive_(eu)_2016_1919_en.txt
directif,appliquer,apres appel,directive_(eu)_2016_1919_en.txt
-,c,procedure penale,directive_(eu)_2016_1919_en.txt
-,directif,procedure penale,directive_(eu)_2016_1919_en.txt
OMS,directif,procedure penale,directive_(eu)_2016_1919_en.txt
infractions mineures,considere,reglements municipaux,directive_(eu)_2016_1919_en.txt
directif,appliquer,affaires criminelles,directive_(eu)_2016_1919_en.txt
13 candidatures,est sujet,dans la directive,directive_(eu)_2016_1919_en.txt
aide au fond juridique,etre capable,test de moyens,directive_(eu)_2016_1919_en.txt
test de fond,juge,infractions mineures,directive_(eu)_2016_1919_en.txt
14 portee,affecter,d'avocat,directive_(eu)_2016_1919_en.txt
enquete,constituer,loi nationale,directive_(eu)_2016_1919_en.txt
